parent,level,media,mentionMapping,parent.1,permalink,text,threadId,timestamp,type,isVoteMasked,mediaText,user,likeCount,dislikeCount,isPinned,childrenTotal,childrenUrl,opStatus,attachments,isCollapsed,isDeleted,isSensitive,isOffensive,Neutrality_Score,Positivity_Score,Negativity_Score,sentiment
c_162815334197732431,1,"[{'imageMetaByType': {'type': 'STATIC', 'image': {'width': 700, 'height': 490, 'url': 'https://img-comment-fun.9cache.com/media/a8WOZyZ/aM7A4kp5_700w_0.jpg', 'webpUrl': 'https://img-comment-fun.9cache.com/media/a8WOZyZ/aM7A4kp5_700wp_0.webp'}, 'imageXLarge': {'width': 1316, 'height': 923, 'url': 'https://img-comment-fun.9cache.com/media/a8WOZyZ/aM7A4kp5_xlarge_3935764c61.jpg'}}, 'sourceMeta': {'accountKey': 'a8WOZyZ', 'key': 'aM7A4kp5', 'type': 'png', 'class': 'STATIC', 'size': 1467787, 'width': 1316, 'height': 923, 'hash': 'b7efdaa36b158812aa0bef6a38f4fe29'}, 'hash': '27c67d8c80b0cb309a9cfc8c8e5bbde8'}]",{'dummy': ''},c_162815055136495555,http://9gag.com/gag/a5EAv9O#cs_comment_id=c_162815334197732431,"Man, the battle of the cults is getting interesting now.",Y2lkPWNfMTYyODE1MzM0MTk3NzMyNDMxJmFpZD0xMDY0MDY5Mg,2021-08-05 08:49:01,userMedia,0,"Man, the battle of the cults is getting interesting now.","{'userId': 'u_13785978488631', 'avatarUrl': 'https://accounts-cdn.9gag.com/media/avatar/10640692_100_1.jpg', 'displayName': 'sparkselm173', 'emojiStatus': 'ðŸ‡¦ðŸ‡º', 'country': 'au', 'profileUrl': 'https://9gag.com/u/sparkselm173', 'profileUrls': {'a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b': 'https://9gag.com/u/sparkselm173'}, 'timestamp': '1378597848', 'permissions': {}, 'isActivePro': False, 'isActiveProPlus': False, 'isVerifiedAccount': False, 'accountId': '10640692', 'activeTs': 1678351629, 'preferences': {'hideProBadge': 0, 'hideActiveTs': 0, 'accentColor': '', 'backgroundColor': ''}}",21,1,0,0,,0,"[{'type': 'userMedia', 'data': {'type': 'STATIC', 'image': {'width': 700, 'height': 490, 'url': 'https://img-comment-fun.9cache.com/media/a8WOZyZ/aM7A4kp5_700w_0.jpg', 'webpUrl': 'https://img-comment-fun.9cache.com/media/a8WOZyZ/aM7A4kp5_700wp_0.webp'}, 'imageXLarge': {'width': 1316, 'height': 923, 'url': 'https://img-comment-fun.9cache.com/media/a8WOZyZ/aM7A4kp5_xlarge_3935764c61.jpg'}}}]",0,0,0,0,0.602,0.203,0.195,Neutral
c_162815145002082112,1,[],{'dummy': ''},c_162815055136495555,,This comment was deleted.,Y2lkPWNfMTYyODE1MTQ1MDAyMDgyMTEyJmFpZD01OTE2MzczNQ,2021-08-05 08:17:30,text,0,This comment was deleted.,"{'userId': '-1', 'avatarUrl': 'https://accounts-cdn.9gag.com/media/default-avatar/1_0_100_v0.jpg', 'displayName': 'Deleted', 'emojiStatus': '', 'country': '', 'profileUrl': '', 'profileUrls': {'a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b': ''}, 'timestamp': '', 'permissions': {}, 'isActivePro': False, 'isActiveProPlus': False, 'isVerifiedAccount': False, 'accountId': '-1', 'activeTs': 0, 'preferences': {'hideProBadge': 0, 'hideActiveTs': 0, 'accentColor': '', 'backgroundColor': ''}}",15,1,0,3,commentId=c_162815145002082112&level=2&url=http%3A%2F%2F9gag.com%2Fgag%2Fa5EAv9O&appId=a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b&count=100,0,[],0,1,0,0,1.0,0.0,0.0,Neutral
c_162815529719604108,1,,{'dummy': ''},c_162815055136495555,http://9gag.com/gag/a5EAv9O#cs_comment_id=c_162815529719604108,Sorry saving all my money up for the Joe Biden Depends Multipack and the Karmella knee pads.,Y2lkPWNfMTYyODE1NTI5NzE5NjA0MTA4JmFpZD01MDQyODQ5MQ,2021-08-05 09:21:37,text,0,Sorry saving all my money up for the Joe Biden Depends Multipack and the Karmella knee pads.,"{'userId': 'u_154271346390213489', 'avatarUrl': 'https://accounts-cdn.9gag.com/media/avatar/50428491_100_1.jpg', 'displayName': 'l3l4napa', 'emojiStatus': '', 'country': 'us', 'profileUrl': 'https://9gag.com/u/l3l4napa', 'profileUrls': {'a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b': 'https://9gag.com/u/l3l4napa'}, 'timestamp': '1542713463', 'permissions': {}, 'isActivePro': False, 'isActiveProPlus': False, 'isVerifiedAccount': False, 'accountId': '50428491', 'activeTs': 1678310437, 'preferences': {'hideProBadge': 0, 'hideActiveTs': 0, 'accentColor': '', 'backgroundColor': ''}}",11,1,0,1,commentId=c_162815529719604108&level=2&url=http%3A%2F%2F9gag.com%2Fgag%2Fa5EAv9O&appId=a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b&count=100,0,,0,0,0,0,0.925,0.0,0.075,Neutral
c_162815101865054446,1,,{'dummy': ''},c_162815055136495555,http://9gag.com/gag/a5EAv9O#cs_comment_id=c_162815101865054446,I'll take one. I'm not even American,Y2lkPWNfMTYyODE1MTAxODY1MDU0NDQ2JmFpZD0xODQwOTQw,2021-08-05 08:10:18,text,0,I'll take one. I'm not even American,"{'userId': 'u_13779487756493', 'avatarUrl': 'https://accounts-cdn.9gag.com/media/default-avatar/1_5_100_v0.jpg', 'displayName': 'freshforever', 'emojiStatus': 'ðŸ¦ ', 'country': 'ph', 'profileUrl': 'https://9gag.com/u/freshforever', 'profileUrls': {'a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b': 'https://9gag.com/u/freshforever'}, 'timestamp': '1377948775', 'permissions': {'9GAG_Pro': 1}, 'isActivePro': True, 'isActiveProPlus': False, 'isVerifiedAccount': False, 'accountId': '1840940', 'activeTs': 1678343725, 'preferences': {'hideProBadge': 0, 'hideActiveTs': 0, 'accentColor': '', 'backgroundColor': ''}}",15,2,0,0,,0,,0,0,0,0,1.0,0.0,0.0,Neutral
c_162815056618769111,1,,{'dummy': ''},c_162815055136495555,http://9gag.com/gag/a5EAv9O#cs_comment_id=c_162815056618769111,It's basically a cult now.,Y2lkPWNfMTYyODE1MDU2NjE4NzY5MTExJmFpZD00MzUyMTExNA,2021-08-05 08:02:46,text,0,It's basically a cult now.,"{'userId': 'u_148794677252076300', 'avatarUrl': 'https://accounts-cdn.9gag.com/media/avatar/43521114_100_1.jpg', 'displayName': 'thatbaldybloke', 'emojiStatus': '', 'country': 'lt', 'profileUrl': 'https://9gag.com/u/thatbaldybloke', 'profileUrls': {'a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b': 'https://9gag.com/u/thatbaldybloke'}, 'timestamp': '1487946772', 'permissions': {'9GAG_Pro': 1, '9GAG_Pro_Plus': 1}, 'isActivePro': True, 'isActiveProPlus': True, 'isVerifiedAccount': False, 'accountId': '43521114', 'activeTs': 1675557662, 'preferences': {'hideProBadge': 0, 'hideActiveTs': 0, 'accentColor': '', 'backgroundColor': ''}}",27,6,0,17,commentId=c_162815056618769111&level=2&url=http%3A%2F%2F9gag.com%2Fgag%2Fa5EAv9O&appId=a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b&count=100,0,,0,0,0,0,1.0,0.0,0.0,Neutral
c_162815145266883819,1,[],{'dummy': ''},c_162815055136495555,,This comment was deleted.,Y2lkPWNfMTYyODE1MTQ1MjY2ODgzODE5JmFpZD0xNDIyNDU5MQ,2021-08-05 08:17:32,text,0,This comment was deleted.,"{'userId': '-1', 'avatarUrl': 'https://accounts-cdn.9gag.com/media/default-avatar/1_0_100_v0.jpg', 'displayName': 'Deleted', 'emojiStatus': '', 'country': '', 'profileUrl': '', 'profileUrls': {'a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b': ''}, 'timestamp': '', 'permissions': {}, 'isActivePro': False, 'isActiveProPlus': False, 'isVerifiedAccount': False, 'accountId': '-1', 'activeTs': 0, 'preferences': {'hideProBadge': 0, 'hideActiveTs': 0, 'accentColor': '', 'backgroundColor': ''}}",15,2,0,1,commentId=c_162815145266883819&level=2&url=http%3A%2F%2F9gag.com%2Fgag%2Fa5EAv9O&appId=a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b&count=100,0,[],0,1,0,0,1.0,0.0,0.0,Neutral
c_162818217283461262,1,"[{'imageMetaByType': {'type': 'STATIC', 'image': {'width': 700, 'height': 440, 'url': 'https://img-comment-fun.9cache.com/media/a8Lp3yp/aprjVaGR_700w_0.jpg', 'webpUrl': 'https://img-comment-fun.9cache.com/media/a8Lp3yp/aprjVaGR_700wp_0.webp'}, 'imageXLarge': {'width': 958, 'height': 603, 'url': 'https://img-comment-fun.9cache.com/media/a8Lp3yp/aprjVaGR_xlarge_09bd7de06b.jpg'}}, 'sourceMeta': {'accountKey': 'a8Lp3yp', 'key': 'aprjVaGR', 'type': 'png', 'class': 'STATIC', 'size': 1394790, 'width': 958, 'height': 603, 'hash': '0c82661176ba1f3add1bb8ac6c838d0b'}, 'hash': 'adfb9269686f4350547303bf1b21e22c'}]",{'dummy': ''},c_162815055136495555,http://9gag.com/gag/a5EAv9O#cs_comment_id=c_162818217283461262,that eagle looks familiar.,Y2lkPWNfMTYyODE4MjE3MjgzNDYxMjYyJmFpZD00NDUzMjA0,2021-08-05 16:49:32,userMedia,0,that eagle looks familiar.,"{'userId': 'u_13775585266992', 'avatarUrl': 'https://accounts-cdn.9gag.com/media/avatar/4453204_100_3.jpg', 'displayName': 'cypher8269', 'emojiStatus': '', 'country': 'us', 'profileUrl': 'https://9gag.com/u/cypher8269', 'profileUrls': {'a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b': 'https://9gag.com/u/cypher8269'}, 'timestamp': '1377558526', 'permissions': {}, 'isActivePro': False, 'isActiveProPlus': False, 'isVerifiedAccount': False, 'accountId': '4453204', 'activeTs': 1678353284, 'preferences': {'hideProBadge': 0, 'hideActiveTs': 0, 'accentColor': '', 'backgroundColor': ''}}",13,2,0,2,commentId=c_162818217283461262&level=2&url=http%3A%2F%2F9gag.com%2Fgag%2Fa5EAv9O&appId=a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b&count=100,0,"[{'type': 'userMedia', 'data': {'type': 'STATIC', 'image': {'width': 700, 'height': 440, 'url': 'https://img-comment-fun.9cache.com/media/a8Lp3yp/aprjVaGR_700w_0.jpg', 'webpUrl': 'https://img-comment-fun.9cache.com/media/a8Lp3yp/aprjVaGR_700wp_0.webp'}, 'imageXLarge': {'width': 958, 'height': 603, 'url': 'https://img-comment-fun.9cache.com/media/a8Lp3yp/aprjVaGR_xlarge_09bd7de06b.jpg'}}}]",0,0,0,0,1.0,0.0,0.0,Neutral
c_162815062778905769,1,[],{'dummy': ''},c_162815055136495555,,This comment was deleted.,Y2lkPWNfMTYyODE1MDYyNzc4OTA1NzY5JmFpZD0yMDI4MTE2MQ,2021-08-05 08:03:47,text,0,This comment was deleted.,"{'userId': '-1', 'avatarUrl': 'https://accounts-cdn.9gag.com/media/default-avatar/1_0_100_v0.jpg', 'displayName': 'Deleted', 'emojiStatus': '', 'country': '', 'profileUrl': '', 'profileUrls': {'a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b': ''}, 'timestamp': '', 'permissions': {}, 'isActivePro': False, 'isActiveProPlus': False, 'isVerifiedAccount': False, 'accountId': '-1', 'activeTs': 0, 'preferences': {'hideProBadge': 0, 'hideActiveTs': 0, 'accentColor': '', 'backgroundColor': ''}}",15,3,0,5,commentId=c_162815062778905769&level=2&url=http%3A%2F%2F9gag.com%2Fgag%2Fa5EAv9O&appId=a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b&count=100,0,[],0,1,0,0,1.0,0.0,0.0,Neutral
c_162815059953091367,1,,{'dummy': ''},c_162815055136495555,http://9gag.com/gag/a5EAv9O#cs_comment_id=c_162815059953091367,Who doesn't want a trump card?,Y2lkPWNfMTYyODE1MDU5OTUzMDkxMzY3JmFpZD00NjI3NzM4OA,2021-08-05 08:03:19,text,0,Who doesn't want a trump card?,"{'userId': 'u_150636746916471439', 'avatarUrl': 'https://accounts-cdn.9gag.com/media/avatar/46277388_100_2.jpg', 'displayName': 'graeme737', 'emojiStatus': '', 'country': 'ca', 'profileUrl': 'https://9gag.com/u/graeme737', 'profileUrls': {'a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b': 'https://9gag.com/u/graeme737'}, 'timestamp': '1506367469', 'permissions': {}, 'isActivePro': False, 'isActiveProPlus': False, 'isVerifiedAccount': False, 'accountId': '46277388', 'activeTs': 1664944683, 'preferences': {'hideProBadge': 0, 'hideActiveTs': 0, 'accentColor': '', 'backgroundColor': ''}}",14,5,0,0,,0,,0,0,0,0,0.766,0.0,0.234,Neutral
c_162830852134085423,1,"[{'imageMetaByType': {'type': 'STATIC', 'image': {'width': 700, 'height': 646, 'url': 'https://img-comment-fun.9cache.com/media/aqnozNR/alzkmemZ_700w_0.jpg', 'webpUrl': 'https://img-comment-fun.9cache.com/media/aqnozNR/alzkmemZ_700wp_0.webp'}}, 'sourceMeta': {'accountKey': 'aqnozNR', 'key': 'alzkmemZ', 'type': 'jpg', 'class': 'STATIC', 'size': 52815, 'width': 700, 'height': 646, 'hash': '0cc5bdb56c4b61c9cba31778ce4bc9e9'}, 'hash': 'f0afa424124865661b97a140bbc5bd54'}]",{'dummy': ''},c_162815055136495555,http://9gag.com/gag/a5EAv9O#cs_comment_id=c_162830852134085423,,Y2lkPWNfMTYyODMwODUyMTM0MDg1NDIzJmFpZD01NTc2MDg2Nw,2021-08-07 03:55:21,userMedia,0,,"{'userId': 'u_158536159589586105', 'avatarUrl': 'https://accounts-cdn.9gag.com/media/avatar/55760867_100_5.jpg', 'displayName': 'flex03', 'emojiStatus': '', 'country': 'us', 'profileUrl': 'https://9gag.com/u/flex03', 'profileUrls': {'a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b': 'https://9gag.com/u/flex03'}, 'timestamp': '1585361595', 'permissions': {}, 'isActivePro': False, 'isActiveProPlus': False, 'isVerifiedAccount': False, 'accountId': '55760867', 'activeTs': 0, 'preferences': {'hideProBadge': 0, 'hideActiveTs': 1, 'accentColor': '', 'backgroundColor': ''}}",3,0,0,0,,0,"[{'type': 'userMedia', 'data': {'type': 'STATIC', 'image': {'width': 700, 'height': 646, 'url': 'https://img-comment-fun.9cache.com/media/aqnozNR/alzkmemZ_700w_0.jpg', 'webpUrl': 'https://img-comment-fun.9cache.com/media/aqnozNR/alzkmemZ_700wp_0.webp'}}}]",0,0,0,0,0.0,0.0,0.0, 
c_162820464896707532,1,,{'dummy': ''},c_162815055136495555,http://9gag.com/gag/a5EAv9O#cs_comment_id=c_162820464896707532,"Wow!!! Shit that cults do! 
I hope all the MAGA morons who are looking at this, jizz in their mouths and choke to death",Y2lkPWNfMTYyODIwNDY0ODk2NzA3NTMyJmFpZD0yNTA3MDQ3NA,2021-08-05 23:04:08,text,0,"Wow!!! Shit that cults do! 
I hope all the MAGA morons who are looking at this, jizz in their mouths and choke to death","{'userId': 'u_142649108381334081', 'avatarUrl': 'https://accounts-cdn.9gag.com/media/default-avatar/1_16_100_v0.jpg', 'displayName': 'ghtewas', 'emojiStatus': '', 'country': 'us', 'profileUrl': 'https://9gag.com/u/ghtewas', 'profileUrls': {'a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b': 'https://9gag.com/u/ghtewas'}, 'timestamp': '1426491083', 'permissions': {}, 'isActivePro': False, 'isActiveProPlus': False, 'isVerifiedAccount': False, 'accountId': '25070474', 'activeTs': 0, 'preferences': {'hideProBadge': 0, 'hideActiveTs': 1, 'accentColor': '', 'backgroundColor': ''}}",2,0,0,0,,0,,0,0,0,0,0.445,0.176,0.379,Neutral
c_162815058896358561,1,,{'dummy': ''},c_162815055136495555,http://9gag.com/gag/a5EAv9O#cs_comment_id=c_162815058896358561,How much is each card? This sounds like a great business idea. He should have done it years ago.,Y2lkPWNfMTYyODE1MDU4ODk2MzU4NTYxJmFpZD0yNDg5NTYxMw,2021-08-05 08:03:08,text,0,How much is each card? This sounds like a great business idea. He should have done it years ago.,"{'userId': 'u_142720542136698810', 'avatarUrl': 'https://accounts-cdn.9gag.com/media/avatar/24895613_100_1.jpg', 'displayName': 'gooey_kablooie', 'emojiStatus': '', 'country': 'sg', 'profileUrl': 'https://9gag.com/u/gooey_kablooie', 'profileUrls': {'a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b': 'https://9gag.com/u/gooey_kablooie'}, 'timestamp': '1427205421', 'permissions': {}, 'isActivePro': False, 'isActiveProPlus': False, 'isVerifiedAccount': False, 'accountId': '24895613', 'activeTs': 1678352174, 'preferences': {'hideProBadge': 0, 'hideActiveTs': 0, 'accentColor': '', 'backgroundColor': ''}}",7,3,0,0,,0,,0,0,0,0,0.708,0.292,0.0,Neutral
c_162815525613696405,1,,{'dummy': ''},c_162815055136495555,http://9gag.com/gag/a5EAv9O#cs_comment_id=c_162815525613696405,Im just keen on knowing what they find in his tax reports,Y2lkPWNfMTYyODE1NTI1NjEzNjk2NDA1JmFpZD02MDkzMTgyNA,2021-08-05 09:20:56,text,0,Im just keen on knowing what they find in his tax reports,"{'userId': 'u_162703532620369047', 'avatarUrl': 'https://accounts-cdn.9gag.com/media/default-avatar/1_36_100_v0.jpg', 'displayName': 'beiml1', 'emojiStatus': '', 'country': 'de', 'profileUrl': 'https://9gag.com/u/beiml1', 'profileUrls': {'a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b': 'https://9gag.com/u/beiml1'}, 'timestamp': '1627035326', 'permissions': {}, 'isActivePro': False, 'isActiveProPlus': False, 'isVerifiedAccount': False, 'accountId': '60931824', 'activeTs': 1678351228, 'preferences': {'hideProBadge': 0, 'hideActiveTs': 0, 'accentColor': '', 'backgroundColor': ''}}",2,0,0,1,commentId=c_162815525613696405&level=2&url=http%3A%2F%2F9gag.com%2Fgag%2Fa5EAv9O&appId=a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b&count=100,0,,0,0,0,0,0.815,0.185,0.0,Neutral
c_162815144808218414,1,,{'dummy': ''},c_162815055136495555,http://9gag.com/gag/a5EAv9O#cs_comment_id=c_162815144808218414,nah tattoo it on the face,Y2lkPWNfMTYyODE1MTQ0ODA4MjE4NDE0JmFpZD00NDA4ODA5Mw,2021-08-05 08:17:28,text,0,nah tattoo it on the face,"{'userId': 'u_149010250712922245', 'avatarUrl': 'https://accounts-cdn.9gag.com/media/avatar/44088093_100_1.jpg', 'displayName': 'hellabored2', 'emojiStatus': '', 'country': 'us', 'profileUrl': 'https://9gag.com/u/hellabored2', 'profileUrls': {'a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b': 'https://9gag.com/u/hellabored2'}, 'timestamp': '1490102507', 'permissions': {}, 'isActivePro': False, 'isActiveProPlus': False, 'isVerifiedAccount': False, 'accountId': '44088093', 'activeTs': 0, 'preferences': {'hideProBadge': 0, 'hideActiveTs': 1, 'accentColor': '', 'backgroundColor': ''}}",2,0,0,4,commentId=c_162815144808218414&level=2&url=http%3A%2F%2F9gag.com%2Fgag%2Fa5EAv9O&appId=a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b&count=100,0,,0,0,0,0,0.781,0.0,0.219,Neutral
c_162820234864671641,1,"[{'imageMetaByType': {'type': 'STATIC', 'image': {'width': 700, 'height': 525, 'url': 'https://img-comment-fun.9cache.com/media/awoAz88/am03LlG9_700w_0.jpg', 'webpUrl': 'https://img-comment-fun.9cache.com/media/awoAz88/am03LlG9_700wp_0.webp'}, 'imageXLarge': {'width': 1076, 'height': 807, 'url': 'https://img-comment-fun.9cache.com/media/awoAz88/am03LlG9_xlarge_6e0de00eca.jpg'}}, 'sourceMeta': {'accountKey': 'awoAz88', 'key': 'am03LlG9', 'type': 'jpg', 'class': 'STATIC', 'size': 349529, 'width': 1076, 'height': 807, 'hash': '9ac5ceee98d76f94311582b228eb0562'}, 'hash': '61f454d26a3b55ff296fcba7f60b656b'}]",{'dummy': ''},c_162815055136495555,http://9gag.com/gag/a5EAv9O#cs_comment_id=c_162820234864671641,Is THIS OFFICAL?,Y2lkPWNfMTYyODIwMjM0ODY0NjcxNjQxJmFpZD00OTc3OTc4Mg,2021-08-05 22:25:48,userMedia,0,Is THIS OFFICAL?,"{'userId': 'u_153494524304191650', 'avatarUrl': 'https://accounts-cdn.9gag.com/media/avatar/49779782_100_6.jpg', 'displayName': 'maggie_may_123', 'emojiStatus': 'ðŸ‡ºðŸ‡¸', 'country': 'us', 'profileUrl': 'https://9gag.com/u/maggie_may_123', 'profileUrls': {'a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b': 'https://9gag.com/u/maggie_may_123'}, 'timestamp': '1534945243', 'permissions': {}, 'isActivePro': False, 'isActiveProPlus': False, 'isVerifiedAccount': False, 'accountId': '49779782', 'activeTs': 1678340686, 'preferences': {'hideProBadge': 0, 'hideActiveTs': 0, 'accentColor': '', 'backgroundColor': ''}}",2,0,0,0,,0,"[{'type': 'userMedia', 'data': {'type': 'STATIC', 'image': {'width': 700, 'height': 525, 'url': 'https://img-comment-fun.9cache.com/media/awoAz88/am03LlG9_700w_0.jpg', 'webpUrl': 'https://img-comment-fun.9cache.com/media/awoAz88/am03LlG9_700wp_0.webp'}, 'imageXLarge': {'width': 1076, 'height': 807, 'url': 'https://img-comment-fun.9cache.com/media/awoAz88/am03LlG9_xlarge_6e0de00eca.jpg'}}}]",0,0,0,0,1.0,0.0,0.0,Neutral
c_162815145419813562,1,,{'dummy': ''},c_162815055136495555,http://9gag.com/gag/a5EAv9O#cs_comment_id=c_162815145419813562,"Earlier in july he sold photos for $45, I wonder how much it will cost this time to be a TRUE PATRIOT in the eyes of Daddy Trump",Y2lkPWNfMTYyODE1MTQ1NDE5ODEzNTYyJmFpZD01ODI2OTA2,2021-08-05 08:17:34,text,0,"Earlier in july he sold photos for $45, I wonder how much it will cost this time to be a TRUE PATRIOT in the eyes of Daddy Trump","{'userId': 'u_143103019403988598', 'avatarUrl': 'https://accounts-cdn.9gag.com/media/avatar/5826906_100_2.jpg', 'displayName': 'dogboi', 'emojiStatus': '', 'country': 'mx', 'profileUrl': 'https://9gag.com/u/dogboi', 'profileUrls': {'a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b': 'https://9gag.com/u/dogboi'}, 'timestamp': '1431030194', 'permissions': {}, 'isActivePro': False, 'isActiveProPlus': False, 'isVerifiedAccount': False, 'accountId': '5826906', 'activeTs': 0, 'preferences': {'hideProBadge': 0, 'hideActiveTs': 1, 'accentColor': '', 'backgroundColor': ''}}",4,2,0,1,commentId=c_162815145419813562&level=2&url=http%3A%2F%2F9gag.com%2Fgag%2Fa5EAv9O&appId=a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b&count=100,0,,0,0,0,0,0.876,0.124,0.0,Neutral
c_162815093758672470,1,,{'dummy': ''},c_162815055136495555,http://9gag.com/gag/a5EAv9O#cs_comment_id=c_162815093758672470,And this is relevant / funny / bad why?,Y2lkPWNfMTYyODE1MDkzNzU4NjcyNDcwJmFpZD0yMDQwMTE1Mg,2021-08-05 08:08:57,text,0,And this is relevant / funny / bad why?,"{'userId': 'u_141051893203826396', 'avatarUrl': 'https://accounts-cdn.9gag.com/media/avatar/20401152_100_4.jpg', 'displayName': 'lcs0', 'emojiStatus': '', 'country': 'de', 'profileUrl': 'https://9gag.com/u/lcs0', 'profileUrls': {'a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b': 'https://9gag.com/u/lcs0'}, 'timestamp': '1410518932', 'permissions': {}, 'isActivePro': False, 'isActiveProPlus': False, 'isVerifiedAccount': False, 'accountId': '20401152', 'activeTs': 1678353371, 'preferences': {'hideProBadge': 0, 'hideActiveTs': 0, 'accentColor': '', 'backgroundColor': ''}}",4,2,0,11,commentId=c_162815093758672470&level=2&url=http%3A%2F%2F9gag.com%2Fgag%2Fa5EAv9O&appId=a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b&count=100,0,,0,0,0,0,0.439,0.254,0.307,Neutral
